Date, Open, High, Low,Close
12/31/20,6555.82,6555.82,6439.41,6460.52
12/30/20,6602.65,6622.98,6552.46,6555.82
12/29/20,6502.11,6676.6,6502.11,6602.65
12/24/20,6495.75,6530.28,6479.59,6502.11
12/23/20,6453.16,6497.28,6431.21,6495.75
12/22/20,6416.32,6457.47,6382.61,6453.16
12/21/20,6529.18,6529.18,6315.34,6416.32
12/18/20,6551.06,6604.54,6518.25,6529.18
12/17/20,6570.91,6601.63,6551.06,6551.06
12/16/20,6513.32,6598.42,6513.32,6570.91
12/15/20,6531.83,6558.24,6484.04,6513.32
12/14/20,6546.75,6583.7,6524.7,6531.83
12/11/2020,6599.76,6607.44,6520.54,6546.75
12/10/2020,6564.29,6640.74,6561.11,6599.76
12/09/2020,6558.82,6623.03,6558.82,6564.29
12/08/2020,6555.39,6567.59,6518.37,6558.82
12/07/2020,6550.23,6601.11,6519.82,6555.39
12/04/2020,6490.27,6559.18,6489.75,6550.23
12/03/2020,6463.39,6491.49,6430.27,6490.27
12/02/2020,6384.73,6468.64,6367.51,6463.39
12/01/2020,6266.19,6400.24,6263.6,6384.73
11/30/20,6367.58,6404.02,6266.19,6266.19
11/27/20,6362.93,6375.91,6302.22,6367.58
11/26/20,6391.09,6412.65,6349.53,6362.93
11/25/20,6432.17,6468.73,6375.25,6391.09
11/24/20,6333.84,6432.42,6333.72,6432.17
11/23/20,6351.45,6392.08,6325.24,6333.84
11/20/20,6334.35,6386.7,6324.6,6351.45
11/19/20,6385.24,6385.24,6314.26,6334.35
11/18/20,6365.33,6395.91,6326.74,6385.24
11/17/20,6421.29,6424.53,6308.99,6365.33
11/16/20,6316.39,6463.51,6316.39,6421.29
11/13/20,6338.94,6338.97,6280.4,6316.39
11/12/2020,6382.1,6382.1,6295.79,6338.94
11/11/2020,6296.85,6397.28,6293.21,6382.1
11/10/2020,6186.29,6307,6180.47,6296.85
11/09/2020,5910.02,6258.31,5910.02,6186.29
11/06/2020,5906.18,5950.22,5858.48,5910.02
11/05/2020,5883.26,5933.05,5881.87,5906.18
11/04/2020,5786.77,5885.67,5711.21,5883.26
11/03/2020,5654.97,5787.61,5654.97,5786.77
11/02/2020,5577.27,5665.3,5554.73,5654.97
10/30/20,5581.75,5593.4,5534.08,5577.27
10/29/20,5582.8,5616.58,5534.66,5581.75
10/28/20,5728.99,5728.99,5525.52,5582.8
10/27/20,5792.01,5806.23,5728.18,5728.99
10/26/20,5860.28,5868.36,5782.37,5792.01
10/23/20,5785.65,5885.38,5781.78,5860.28
10/22/20,5776.5,5796.44,5716.4,5785.65
10/21/20,5889.22,5903.38,5769.62,5776.5
10/20/20,5884.65,5915.47,5861.81,5889.22
10/19/20,5919.58,5959.67,5871.95,5884.65
10/16/20,5832.52,5933.81,5832.52,5919.58
10/15/20,5935.06,5935.06,5786.2,5832.52
10/14/20,5969.71,6009.81,5926.49,5935.06
10/13/20,6001.38,6008.04,5949.97,5969.71
10/12/2020,6016.65,6037.08,5995.11,6001.38
10/09/2020,5978.03,6040.47,5978.03,6016.65
10/08/2020,5946.25,6004.15,5929.41,5978.03
10/07/2020,5949.94,5977.15,5929.16,5946.25
10/06/2020,5942.94,5971.48,5903.4,5949.94
10/05/2020,5902.12,5974.22,5902.12,5942.94
10/02/2020,5879.45,5902.12,5809.61,5902.12
10/01/2020,5866.1,5925.77,5849.82,5879.45
09/30/20,5897.5,5931.37,5854.46,5866.1
09/29/20,5927.93,5927.93,5862.93,5897.5
09/28/20,5842.67,5954.42,5842.67,5927.93
09/25/20,5822.78,5843.72,5771.49,5842.67
09/24/20,5899.26,5899.26,5805.28,5822.78
09/23/20,5829.46,5974.88,5829.46,5899.26
09/22/20,5804.29,5871.28,5794.54,5829.46
09/21/20,6007.05,6007.05,5779.24,5804.29
09/18/20,6049.92,6055.24,6006.28,6007.05
09/17/20,6078.48,6078.48,5998.69,6049.92
09/16/20,6105.54,6119.24,6057.63,6078.48
09/15/20,6026.25,6123.69,6026.17,6105.54
09/14/20,6032.09,6080.02,6011.83,6026.25
09/11/2020,6003.32,6057.69,5992.93,6032.09
09/10/2020,6012.84,6028.76,5950.62,6003.32
09/09/2020,5930.3,6031.25,5923.43,6012.84
09/08/2020,5937.4,5985.26,5868.87,5930.3
09/07/2020,5799.08,5946.93,5798.47,5937.4
09/04/2020,5850.86,5904.16,5778.4,5799.08
09/03/2020,5940.95,5996.24,5838.02,5850.86
09/02/2020,5862.05,5974.7,5862.05,5940.95
09/01/2020,5963.57,5972.52,5824.04,5862.05
08/28/20,5999.99,6033.04,5962.46,5963.57
08/27/20,6045.6,6062.52,5999.99,5999.99
08/26/20,6037.01,6050.81,5992.22,6045.6
08/25/20,6104.73,6173.48,6032.1,6037.01
08/24/20,6001.89,6119.8,6001.89,6104.73
08/21/20,6013.34,6036.51,5948.8,6001.89
08/20/20,6111.98,6111.98,6009.61,6013.34
08/19/20,6076.62,6114.83,6045,6111.98
08/18/20,6127.44,6162.66,6062.58,6076.62
08/17/20,6090.04,6140.19,6061.46,6127.44
08/14/20,6185.62,6185.62,6036.13,6090.04
08/13/20,6280.12,6280.12,6185.62,6185.62
08/12/2020,6154.34,6297.2,6151.64,6280.12
08/11/2020,6050.59,6206,6050.59,6154.34
