SIC,HORIZ,"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,LEV,Acq_size,Deal Attitude,Deal Status,Percentage of Shares Acquired,Tar. Private,DSIZE,Date (years)
5961,0,-0.001608,0.009858,0,0,0.456346,140.433,Friendly,Completed,36,Priv.,,2013
5961,0,-0.01831,-0.034374,1,1,0.4521884,555.63,Friendly,Completed,100,Priv.,,2008
5961,0,-0.00762,-0.015071,1,1,0.344419,426.282,Friendly,Completed,100,Sub.,,2006
5961,0,0.2118406,0.1465369,1,1,0.3044112,330.046,Friendly,Completed,100,Public,137.544,2014
6020,0,0.0019367,0.04845,1,0,0.9189009,57.73,Friendly,Completed,100,Priv.,,2013
6020,0,-0.019512,-0.022057,1,1,0.9031065,652.312,Friendly,Completed,100,Priv.,,2007
6020,0,0.0188492,0.057028,1,0,0.8316243,154.01,Friendly,Completed,100,Priv.,,2011
6020,0,-0.002123,0.0154827,1,0,0.8489321,215.324,Friendly,Completed,100,Public,1903.669,2013
4888,0,0.0269168,0.0239124,0,0,0.5947922,20209.258,Friendly,Pending,.,Public,719.738,2015
4888,0,0.0093659,0.0264527,0,0,0.6059406,12665.924,Friendly,Completed,100,Priv.,,2013
4888,0,0.0092969,-0.001534,1,0,0.5947922,73436.72,Not Appl.,Status Unknown,.,Public,4468.086,2015
4888,0,0.0236578,0.0414251,0,1,0.6329806,19902.4,Friendly,Completed,25,Priv.,,2014
4888,0,-0.000514,0.0061797,0,0,0.5947922,20096.016,Not Appl.,Rumor,.,Priv.,,2015
4888,0,-0.058121,-0.078233,1,0,0.6111985,78746.306,Unsolic.,Withdrawn,.,Public,61102.91,2014
4888,0,-0.001124,0.0040052,1,0,0.5947707,46511.557,Not Appl.,Status Unknown,.,Priv.,,2013
4888,0,0.0142853,0.0078513,1,1,0.6059406,81107.2,Friendly,Completed,31,Priv.,,2014
4888,0,-0.007253,0.0088833,1,0,0.6329806,75485.868,Friendly,Completed,100,Priv.,,2014
6331,1,-0.052182,-0.060242,1,0,0.6675916,33.338,Friendly,Withdrawn,.,Sub.,,2010
2836,1,0.0763566,0.0260286,0,0,0.1877947,194.302,Neutral,Pending,.,Priv.,,2014
3576,0,-0.047102,-0.005304,0,0,0.2660971,1911.601,Friendly,Completed,49,J.V.,,2006
3559,0,-0.010882,-0.059937,1,0,0.3624569,819.884,Friendly,Completed,100,Priv.,,2011
3559,0,0.0464205,0.0014103,1,0,0.2819917,182.585,Friendly,Completed,100,Priv.,,2009
3559,0,0.0702226,0.0735706,1,0,0.288259,211.438,Friendly,Completed,100,Priv.,,2009
3559,0,-0.008324,-0.003808,1,0,0.1290537,6175.298,Friendly,Completed,100,Priv.,,2014
3559,0,0.0627085,0.1385532,1,0,0.4792461,1484.92,Friendly,Completed,100,Priv.,,2012
3559,0,0.0393508,0.0437743,0,0,0.2869836,301.537,Friendly,Completed,100,Priv.,,2010
3559,0,-0.012419,-0.016015,0,1,0.2936703,271.55,Friendly,Completed,100,Priv.,,2010
3559,0,0.0551957,0.0470168,0,0,0.1547087,4787.936,Friendly,Completed,100,Priv.,,2013
3559,0,0.0215931,-0.013289,0,1,0.1329215,4183.987,Friendly,Completed,100,Public,59.08,2014
3559,0,-0.001003,-0.004903,0,0,0.3694494,2628.403,Friendly,Completed,100,Priv.,,2013
3559,0,-0.029441,0.0137471,1,0,0.3034049,333.004,Friendly,Completed,100,Priv.,,2010
3559,0,-0.022762,-0.04928,1,0,0.2819917,167.879,Friendly,Completed,100,Sub.,,2009
3559,0,0.0194398,0.0281365,0,0,0.1461189,3131.437,Friendly,Completed,100,Priv.,,2015
3559,0,-0.010151,0.0254212,1,0,0.2869836,303.797,Friendly,Completed,100,Priv.,,2010
3559,0,-0.049813,-0.016164,1,0,0.152043,6974.707,Friendly,Completed,100,Priv.,,2013
3559,0,0.0310592,-0.13837,0,0,0.2660584,853.918,Friendly,Completed,100,Priv.,,2011
3559,0,0.0348297,-0.029065,0,0,0.4792461,1210.403,Friendly,Completed,100,Priv.,,2012
3559,0,-0.006947,0.0111847,1,0,0.152043,7747.619,Friendly,Completed,100,Priv.,,2014
3559,0,0.0345602,0.1309377,1,1,0.3694494,2540.563,Friendly,Completed,100,Priv.,,2013
3559,0,0.0485223,0.0818055,1,1,0.2520672,754.541,Friendly,Completed,100,Sub.,,2011
3559,0,-0.009148,-0.018246,0,1,0.3926144,2169.575,Friendly,Completed,100,Priv.,,2012
3559,0,0.1065727,0.1106066,0,0,0.2660584,805.468,Friendly,Completed,100,Priv.,,2011
3559,0,0.0419731,0.0070614,1,0,0.1290537,6321.491,Friendly,Completed,100,Priv.,,2014
3559,0,-0.026684,-0.041586,0,0,0.1290537,5253.07,Friendly,Completed,100,Priv.,,2014
3559,0,-0.059621,-0.067985,1,0,0.1494404,7358.92,Friendly,Completed,100,Priv.,,2014
3559,0,-0.043936,0.0169373,1,0,0.3034049,290.445,Friendly,Completed,100,Priv.,,2010
3559,0,0.0239734,0.0782391,0,0,0.2869836,332.466,Friendly,Completed,100,Priv.,,2010
3559,0,0.1090193,0.1239135,1,0,0.449671,1164.159,Friendly,Completed,100,Priv.,,2012
3559,0,-0.050593,-0.135157,1,0,0.3624569,1040.208,Friendly,Completed,100,Priv.,,2011
