Date (years),"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,HORIZ,DSIZE,RSIZE,LEV,Acq_size
2015,-0.059092,-0.068087,1,1,0,9.439383049182108,0.13861999584954393,0.9367626,11.415401981615657
2009,0.0047921,0.0553857,1,1,0,5.816590190949077,0.004191331444187853,0.5366601,11.29132701936517
2014,-0.008882,0.0114624,0,0,1,7.476291164292118,0.03019780909223797,0.4362009,10.976277068139701
2010,0.0182984,-0.007777,1,1,0,6.090807493458227,0.005342336057242125,0.5631399,11.322899751224677
2009,-0.002918,-0.009315,0,0,0,4.188305347154053,0.0007945721671126157,0.5711913,11.326012089896468
2016,0.016451,-0.006917,0,1,1,4.671837689234105,0.05763045215217882,0.4775066,7.525541857020572
2013,0.1173887,0.11599,1,0,1,8.17512110486144,0.2856380286959859,0.7444225,9.428151008544884
2014,0.1080816,0.1015154,1,0,1,10.520094667337375,0.6167071697709855,0.4549015,11.003455638362428
2014,0.0466903,0.0236534,1,0,1,6.0178484116519995,0.006670920394826799,0.6244697,11.027845849997474
2014,0.0887664,0.1380304,1,0,1,9.82163737904662,0.5697374858216423,0.5803423,10.384216954476535
2013,0.1450333,0.1184909,1,1,1,6.202011088201101,0.3665791068002685,0.4203891,7.20555202521769
2011,0.0128514,0.0152901,0,1,1,5.521648900192461,0.07959166328996191,0.5916721,8.052494824347264
2015,-0.024617,-0.055887,1,0,1,8.183655365198472,0.10069344736278912,0.2034062,10.479329917449272
2013,-0.008606,0.0033038,1,1,1,6.299831210752596,0.019198286088946862,0.3721959,10.252765480886145
2011,-0.012587,-0.007353,1,1,0,5.477985405876428,0.007779091279136372,0.5970409,10.33430115565773
2014,0.0432143,0.0358136,0,0,0,6.096896060245427,0.036596658021868934,0.3818958,9.404694413867235
2009,-0.108985,-0.007464,1,0,0,3.7137427838386254,0.6065496176431434,0.2349425,4.213711527983815
2012,0.0097535,-0.021582,1,0,1,7.931336502910962,0.0494652686558259,0.498704,10.937821001901975
2008,0.0214313,0.028888,1,1,0,4.258488004816991,0.0016256639647300613,0.5988224,10.680326957789056
2009,0.0311856,0.0251497,1,1,0,6.953064152389381,0.02616268501327524,0.5578419,10.596485271927309
2010,0.008332,-0.004541,1,1,0,5.946140244894215,0.0083616423952101,0.4984381,10.730240657318047
2015,0.009008,0.0100245,0,0,0,3.4993217796553546,0.22641470706960135,0.4286846,4.984708753863533
